,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Tempo,Duration_ms,Stream
182,0.533,0.376,-11.913,0.0393,0.0302,0.248,0.187,165.007,259947.0,574936342.0
183,0.332,0.179,-11.83,0.0326,0.879,0.0,0.315,96.529,125667.0,475131674.0
184,0.482,0.849,-9.198,0.0452,0.641,7.74e-06,0.937,124.631,155227.0,341963190.0
185,0.686,0.127,-14.361,0.0342,0.754,1.41e-05,0.372,93.699,138387.0,326733164.0
186,0.688,0.435,-11.359,0.0323,0.449,0.0,0.435,103.239,146333.0,266426563.0
187,0.386,0.607,-7.7,0.0261,0.0112,1.38e-05,0.532,147.207,425653.0,486111943.0
188,0.49,0.715,-5.549,0.0476,0.386,0.0,0.866,130.726,145747.0,334903879.0
189,0.396,0.338,-10.872,0.0304,0.198,2.62e-06,0.377,133.522,182293.0,233382117.0
190,0.671,0.939,-3.206,0.161,0.191,0.0,0.53,129.024,252307.0,777641580.0
191,0.581,0.963,-4.087,0.0981,0.0295,0.0,0.788,129.992,204160.0,1120973873.0
192,0.721,0.802,-5.797,0.0583,0.0921,0.0,0.724,124.022,229360.0,981156901.0
193,0.673,0.758,-3.632,0.158,0.039,0.0,0.542,135.956,229507.0,481224452.0
194,0.67,0.855,-3.035,0.0499,0.0124,0.0,0.648,120.05,227280.0,347393726.0
195,0.761,0.933,-5.38,0.056,0.0908,8.53e-05,0.836,122.959,236200.0,424022714.0
196,0.592,0.935,-4.317,0.0581,0.00879,0.0154,0.567,125.013,222520.0,222056078.0
197,0.85,0.631,-8.401,0.227,0.00684,0.000406,0.738,126.002,237600.0,374912951.0
198,0.595,0.912,-3.428,0.0884,0.0434,0.0,0.762,128.024,234453.0,193172998.0
199,0.898,0.677,-6.422,0.243,0.0223,0.0,0.578,130.027,154493.0,52166142.0
200,0.742,0.882,-2.862,0.117,0.0466,0.0,0.463,102.04,221176.0,851711837.0
201,0.951,0.6,-4.675,0.0685,0.106,0.0,0.822,125.04,218573.0,590578908.0
202,0.801,0.764,-5.112,0.0986,0.109,1.62e-05,0.578,89.999,154151.0,122450231.0
203,0.741,0.824,-4.143,0.0352,0.614,0.0,0.725,100.216,211666.0,381155556.0
204,0.718,0.776,-5.208,0.0693,0.000624,5.3e-06,0.622,120.015,227787.0,266413452.0
205,0.855,0.674,-4.328,0.314,0.165,0.0,0.578,95.991,242253.0,49412471.0
206,0.711,0.761,-3.04,0.225,0.067,0.0,0.718,95.824,243880.0,51339097.0
207,0.765,0.666,-5.384,0.172,0.103,0.0,0.757,87.002,273360.0,176824685.0
208,0.812,0.712,-5.993,0.0452,0.01,0.0,0.85,98.029,148944.0,47517159.0
209,0.828,0.588,-7.14,0.118,0.0156,0.0,0.598,94.052,224681.0,336056798.0
210,0.396,0.293,-14.062,0.0275,0.941,0.000196,0.343,100.307,182360.0,642724292.0
211,0.465,0.27,-16.661,0.0425,0.9,0.00104,0.58,94.518,129173.0,293604060.0
212,0.575,0.236,-16.982,0.0422,0.968,0.0178,0.829,79.576,115827.0,115786722.0
213,0.487,0.382,-10.889,0.0309,0.0422,4.74e-06,0.714,116.557,261280.0,355940570.0
214,0.66,0.748,-11.206,0.0284,0.0993,0.00585,0.972,143.549,170293.0,217996516.0
215,0.358,0.387,-14.342,0.0324,0.746,0.0121,0.495,181.183,218440.0,126445901.0
216,0.325,0.715,-7.744,0.0368,0.00708,2.79e-05,0.282,93.914,191840.0,19601041.0
217,0.623,0.537,-10.014,0.0726,0.332,1.4e-05,0.905,166.885,146933.0,362889100.0
218,0.404,0.266,-16.688,0.0334,0.716,0.133,0.491,88.916,167413.0,138978979.0
219,0.481,0.733,-7.633,0.165,0.573,1.17e-05,0.874,122.903,140427.0,107417556.0
220,0.916,0.844,-3.967,0.236,0.0394,0.0,0.586,95.19,312627.0,375955728.0
221,0.801,0.91,-6.566,0.225,0.00239,0.000891,0.805,87.277,278387.0,578493150.0
222,0.763,0.85,-3.052,0.0417,0.0304,1.21e-06,0.761,91.519,284907.0,497213287.0
223,0.872,0.723,-5.968,0.247,0.0293,0.0,0.843,93.279,307773.0,428728611.0
224,0.874,0.63,-3.585,0.298,0.0578,0.00479,0.717,95.0,281600.0,213745248.0
225,0.865,0.665,-6.289,0.073,0.0453,0.0,0.331,111.113,268827.0,411056377.0
226,0.773,0.54,-7.123,0.103,0.371,0.0,0.322,84.115,280000.0,243928109.0
227,0.598,0.732,-7.013,0.425,0.144,0.0,0.595,172.329,262507.0,211103197.0
228,0.849,0.904,-4.78,0.138,0.0248,5.11e-05,0.854,99.258,246533.0,178709066.0
229,0.795,0.852,-2.238,0.178,0.0442,3.47e-06,0.673,95.44,330760.0,117899041.0
230,0.762,0.861,-3.296,0.0955,0.0185,0.0,0.955,120.048,172714.0,172373567.0
231,0.553,0.652,-6.685,0.206,0.0897,0.0,0.551,94.505,207347.0,1138123751.0
232,0.888,0.632,-3.872,0.219,0.19,0.0,0.662,91.979,266067.0,466458137.0
233,0.723,0.732,-5.514,0.0864,0.11,0.0,0.503,104.991,199747.0,248359900.0
234,0.718,0.768,-7.87,0.25,0.0988,0.0,0.591,164.038,213745.0,46192225.0
235,0.813,0.732,-5.636,0.03,0.0597,0.00137,0.731,130.02,195987.0,222949118.0
236,0.907,0.695,-6.268,0.135,0.246,0.0,0.961,101.007,298307.0,202521145.0
237,0.861,0.48,-8.433,0.0512,0.0459,0.0,0.278,99.972,178840.0,82111629.0
238,0.755,0.531,-8.051,0.196,0.213,0.0,0.683,177.951,203360.0,124225906.0
240,0.669,0.634,-6.476,0.0327,0.0125,0.0,0.496,124.906,255053.0,433564491.0
241,0.502,0.786,-4.378,0.317,0.255,0.0,0.739,169.021,243491.0,1004661276.0
242,0.328,0.622,-7.291,0.0866,0.858,0.0,0.401,74.267,228093.0,417139141.0
243,0.457,0.906,-2.278,0.342,0.249,0.0,0.54,104.02,357707.0,461843097.0
244,0.364,0.752,-5.429,0.304,0.0007,0.0,0.606,79.119,248587.0,404959319.0
245,0.832,0.43,-9.39,0.0826,0.0606,0.00323,0.462,148.074,299333.0,387665450.0
246,0.663,0.688,-8.659,0.283,0.0391,0.00224,0.731,151.589,221813.0,432215037.0
247,0.443,0.623,-6.717,0.0718,0.0468,0.0,0.156,79.365,233000.0,205327632.0
248,0.742,0.617,-6.689,0.0345,0.05,5.92e-05,0.491,147.002,124188.0,62736773.0
249,0.376,0.841,-4.348,0.356,0.0435,0.0,0.463,76.052,271947.0,238468772.0
250,0.716,0.512,-6.257,0.0331,0.483,0.0,0.326,104.957,165907.0,644668215.0
251,0.468,0.779,-4.839,0.0779,0.112,0.000373,0.26,173.799,217747.0,731776557.0
252,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.572,117.089,216120.0,1404231856.0
253,0.259,0.437,-6.589,0.0386,0.102,1.32e-06,0.0951,180.042,239000.0,1378235205.0
254,0.628,0.698,-5.608,0.105,0.0472,0.00143,0.732,89.976,211667.0,1538447140.0
255,0.603,0.615,-4.931,0.165,0.0799,6.72e-05,0.561,158.657,213707.0,411692294.0
256,0.421,0.791,-4.998,0.0496,0.0117,1.48e-05,0.499,130.075,257200.0,733035056.0
257,0.678,0.744,-4.058,0.234,0.495,2.35e-05,0.433,101.987,162353.0,34819346.0
258,0.759,0.636,-5.585,0.0369,0.0224,0.000143,0.536,109.976,214507.0,300286185.0
259,0.547,0.814,-6.191,0.12,0.0215,0.0,0.724,92.986,205267.0,191151662.0
260,0.828,0.492,-9.744,0.0276,0.0644,0.00428,0.789,120.151,257800.0,1145814659.0
261,0.545,0.67,-8.81,0.0496,0.009,0.000822,0.481,151.553,270213.0,800258505.0
262,0.73,0.487,-10.991,0.0303,0.258,0.01,0.731,114.965,226653.0,615384523.0
263,0.583,0.947,-5.12,0.0378,0.0185,0.00109,0.803,135.448,223613.0,732367244.0
264,0.414,0.161,-22.32,0.0318,0.883,0.000223,0.423,159.375,199493.0,512338633.0
265,0.671,0.71,-7.724,0.0356,0.0393,1.12e-05,0.834,118.745,193347.0,252302426.0
266,0.64,0.649,-10.345,0.0264,0.216,8.3e-05,0.865,124.825,221053.0,298619427.0
